105000000101,9,17,26,27,39,40
105000000102,2,9,23,28,35,39
105000000103,14,16,18,26,33,40
105000000104,8,17,21,36,37,41
105000000105,10,12,20,32,36,38
105000000106,2,5,7,9,22,34
105000000107,16,23,29,39,42,43
105000000108,17,25,32,37,40,41
105000000201,11,24,27,32,38,44
105000000202,1,11,26,31,38,45
105000000203,12,20,23,26,42,44
105000000204,16,17,19,30,31,35
105000000205,8,19,20,25,32,41
105000000206,5,6,33,39,43,45
105000000207,5,10,16,25,31,41
105000000208,8,10,15,28,29,35
105000000209,4,18,22,25,30,42
105000000210,6,16,17,19,22,44
105000000211,2,9,27,33,35,43
105000000212,1,15,19,30,41,42
105000000301,1,8,13,21,36,41
105000000302,5,7,8,18,22,41
105000000303,3,6,10,11,15,38
105000000304,3,10,23,25,34,41
105000000305,4,14,30,32,34,37
105000000306,10,18,22,31,33,42
105000000307,9,15,16,22,36,40
105000000308,8,25,26,40,43,44
105000000309,5,6,8,15,19,27
105000000310,4,14,20,22,29,36
105000000311,4,14,15,16,20,24
105000000312,13,17,18,24,30,37
105000000401,12,13,15,24,30,40
105000000402,5,12,15,32,39,43
105000000403,1,2,8,9,33,35
105000000404,20,22,26,37,40,42
105000000405,7,16,21,24,33,36
105000000501,3,14,21,40,41,42
105000000502,2,14,21,31,36,45
105000000601,4,19,21,28,30,45
105000000602,12,15,22,32,35,43
105000000603,6,8,19,39,40,41
105000000604,2,3,11,24,39,44
105000000605,2,10,14,26,30,38
105000000606,1,21,22,39,40,45
105000000607,2,6,18,26,32,40
105000000608,13,15,17,29,34,44
105000000609,7,10,14,24,28,30
105000000610,1,4,14,17,44,45
105000000611,1,5,12,21,27,33
105000000612,1,15,23,40,41,45
105000000701,3,19,27,34,36,37
105000000702,4,15,21,25,40,45
105000000703,3,7,11,31,33,34
105000000704,1,2,3,4,20,36
105000000705,13,17,31,32,33,36
105000000706,1,11,19,22,31,39
105000000707,7,8,14,16,29,39
105000000708,7,11,24,27,31,42
105000000709,24,27,33,37,39,42
105000000710,13,17,32,33,34,40
105000000711,4,12,21,24,32,43
105000000712,9,14,21,36,38,45
105000000713,7,10,19,23,29,32
105000000714,6,9,13,27,32,39
105000000715,3,7,9,15,27,41
105000000716,11,26,28,31,35,37
105000000717,11,14,15,26,43,45
105000000718,9,12,15,16,17,19
105000000801,2,13,15,26,39,43
105000000802,2,6,11,23,39,40
105000000803,8,17,27,31,34,41
105000000804,2,4,14,16,21,42
105000000805,6,7,9,17,30,37
105000000806,1,12,25,27,39,40
105000000807,4,9,13,14,27,36
105000000808,2,15,18,23,27,44
105000000809,4,6,12,15,35,45
105000000901,2,13,14,20,23,36
105000000902,24,26,27,32,39,42
105000000903,1,6,12,17,21,40
105000000904,6,12,14,29,35,38
105000000905,3,10,13,17,22,33
105000000906,2,20,31,33,35,45
105000000907,13,16,37,38,39,40
105000000908,3,11,17,27,34,38
105000000909,15,20,24,36,37,40
105000000910,13,14,19,26,34,35
105000000911,5,10,24,25,44,45
105000001001,5,22,28,36,40,45
105000001002,5,9,10,19,28,34
105000001003,26,28,30,35,41,45
105000001004,6,13,14,30,31,32
105000001005,8,25,27,31,33,40
105000001006,3,6,18,24,25,31
105000001007,6,9,11,17,18,45
105000001008,1,6,16,28,32,37
105000001009,3,8,13,15,30,32
105000001010,1,5,10,25,32,35
105000001011,17,33,34,35,41,45
105000001012,3,4,12,16,41,44
105000001013,1,2,11,13,28,41
105000001101,13,15,18,37,39,44
105000001102,7,15,17,18,20,25
105000001103,7,21,24,31,34,38
105000001201,13,14,23,32,34,37
105000001202,4,8,9,10,27,42
105000001203,14,16,27,33,37,42
105000001204,4,11,19,27,30,36
105000001205,1,6,28,35,42,45
105000001206,1,8,12,15,29,36
105000001207,3,5,30,31,33,34
105000001208,11,12,20,23,35,38
105000001209,1,14,24,37,38,39
105000001210,7,15,16,22,31,44
105000001211,1,16,17,33,39,45
105000001212,20,25,33,34,38,42
105000001213,7,9,32,37,38,40
105000001214,9,15,17,22,27,28
105000001215,1,9,18,23,33,37
105000001216,10,17,19,21,35,39
105000001217,2,3,4,5,22,37
105000001218,5,12,21,24,33,40
105000001219,9,11,15,16,18,38
105000001220,4,6,8,16,23,44
105000001301,22,23,24,25,33,41
105000001302,1,10,16,20,23,32
105000001303,11,22,25,28,33,37
105000001304,13,16,26,35,41,44
105000001305,9,15,28,30,38,44
105000001306,2,5,6,17,28,39
105000001401,6,9,12,21,23,45
105000001402,1,2,20,25,26,30
105000001403,7,12,13,18,22,35
105000001404,3,6,7,17,24,25
105000001405,8,19,20,24,32,38
105000001406,14,15,25,26,27,33
105000001407,3,15,17,19,34,43
105000001408,6,12,27,33,35,42
105000001409,3,4,11,28,39,45
105000001410,6,11,15,20,39,40
105000001411,3,19,27,33,39,42
105000001412,3,7,14,15,39,44
105000001413,9,20,30,33,38,44
105000001414,2,15,25,34,41,42
105000001415,3,12,33,39,40,41
105000001416,6,7,12,14,28,36
105000001417,6,11,12,23,30,38
105000001418,4,20,28,32,35,42
105000001419,6,19,23,33,38,39
105000001420,20,22,23,28,40,42
105000001501,16,30,39,41,43,45
105000001502,23,28,32,35,36,39
105000001503,3,5,13,14,17,45
105000001504,10,18,27,28,35,41
105000001505,9,14,27,28,35,40
105000001506,1,3,6,26,30,37
105000001507,1,3,11,25,41,42
105000001601,7,8,10,23,30,35
105000001602,1,7,17,35,36,38
105000001603,2,9,26,34,40,44
105000001604,9,15,32,33,37,38
105000001605,10,15,16,30,32,39
105000001606,9,12,16,30,36,44
105000001607,3,13,23,26,41,45
105000001608,16,17,18,23,32,38
105000001609,5,22,26,34,38,39
105000001610,2,4,19,23,34,35
105000001611,6,14,17,30,35,45
105000001612,6,12,15,17,20,32
105000001613,17,27,33,37,38,45
105000001614,27,28,33,36,39,44
105000001615,8,11,13,16,35,40
105000001616,12,19,29,31,41,43
105000001617,11,12,25,26,29,30
105000001618,11,17,19,27,31,32
105000001701,2,10,16,29,37,39
105000001702,2,7,8,26,33,37
105000001703,1,2,8,18,24,32
105000001704,19,21,24,30,31,34
105000001705,4,7,9,15,32,39
105000001706,5,8,10,26,30,42
105000001801,1,5,8,25,30,41
105000001802,4,20,23,33,44,45
105000001803,7,13,15,29,36,40
105000001804,11,15,26,43,44,45
105000001805,3,4,24,26,28,40
105000001806,1,20,28,31,36,42
105000001807,7,17,20,26,29,40
105000001808,1,9,10,13,34,36
105000001809,6,11,28,29,30,32
105000001810,4,10,14,25,31,42
105000001811,7,12,19,27,31,43
105000001901,2,18,30,41,42,45
105000001902,2,5,8,19,23,41
105000001903,4,6,17,26,28,38
105000001904,14,15,29,32,34,40
105000001905,2,11,28,29,34,35
105000001906,11,15,25,30,41,45
105000001907,6,22,23,24,42,44
105000001908,19,28,33,34,41,43
105000001909,2,9,10,16,23,24
105000001910,1,3,24,33,42,45
105000001911,12,17,35,36,39,43
105000001912,3,7,17,36,40,42
105000001913,6,9,10,22,24,32
105000001914,20,22,24,25,28,33
105000001915,7,12,30,36,37,43
105000001916,13,18,24,34,35,37
105000001917,8,10,19,20,33,42
105000001918,19,24,33,36,38,45
105000001919,3,19,21,23,37,44
105000002001,17,25,30,35,36,42
105000002002,4,11,14,23,30,40
105000002003,10,13,17,23,26,41
105000002004,7,10,20,21,31,41
105000002005,7,11,14,21,25,28
105000002006,7,15,30,31,32,41
105000002007,11,14,18,25,30,33
105000002008,15,24,26,32,41,45
105000002009,8,18,29,36,39,45
105000002010,2,8,17,23,30,44
105000002011,5,12,22,24,27,29
105000002012,16,18,22,29,35,42
105000002013,7,9,12,14,30,40
105000002014,3,9,21,25,28,35
105000002015,4,11,19,27,30,38
105000002101,11,12,19,33,40,42
105000002102,14,17,20,38,43,44
105000002103,6,14,24,28,32,41
105000002104,6,15,31,36,42,43
105000002105,9,12,16,20,31,34
105000002106,8,12,15,23,24,42
105000002107,1,4,20,23,29,43
105000002108,4,9,18,22,36,41
105000002109,7,13,17,29,36,38
105000002110,18,20,26,35,40,45
105000002111,13,14,15,26,37,43
105000002112,5,9,13,17,36,42
105000002113,6,8,21,27,34,40
105000002114,4,13,25,33,34,41
105000002115,4,7,9,16,18,42
105000002116,2,16,30,40,43,44
105000002201,1,2,18,28,32,39
105000002202,10,12,29,31,43,45
105000002203,20,21,33,34,37,41
105000002204,1,20,22,31,40,41
105000002205,4,5,8,14,25,37
105000002206,4,6,20,31,42,43
105000002207,3,15,18,29,41,43
105000002208,9,15,30,37,42,44
105000002209,12,19,33,34,39,42
105000002210,7,11,26,35,36,37
105000002301,10,12,30,35,39,40
105000002302,3,14,16,25,31,32
105000002303,8,13,35,37,41,43
105000002401,12,15,20,31,35,43
105000002402,14,16,18,22,26,39
105000002403,22,24,30,35,42,44
105000002404,5,17,20,21,27,35
105000002405,3,4,20,21,31,39
105000002406,9,15,20,22,23,34
105000002407,1,8,12,21,31,33
105000002408,7,18,20,39,42,43
105000002409,4,15,18,29,30,37
105000002410,2,7,10,13,31,39
105000002411,9,13,14,16,39,42
105000002412,7,8,13,18,25,30
105000002413,1,11,27,30,37,42
105000002501,5,9,19,25,39,44
105000002502,8,14,33,38,40,43
105000002503,2,6,20,21,26,32
105000002504,15,16,17,27,38,43
105000002505,2,8,12,35,40,44
105000002506,9,14,15,17,29,44
105000002507,1,9,19,32,34,35
105000002508,3,17,21,23,27,45
105000002509,5,6,14,18,19,27
105000002510,2,7,22,28,32,33
105000002511,12,14,16,33,34,36
105000002512,2,12,24,25,30,42
105000002513,2,3,5,14,27,45
105000002514,2,13,21,24,30,42
105000002601,2,9,11,29,37,39
105000002602,3,12,21,26,41,43
105000002603,1,12,18,21,24,32
105000002701,4,16,19,29,30,43
105000002702,4,7,10,11,23,25
105000002703,2,5,9,10,20,45
105000002704,12,18,23,26,32,45
105000002705,1,9,14,25,35,36
105000002706,14,18,20,23,32,33
105000002707,3,6,19,23,27,28
105000002708,4,10,13,25,27,30
105000002709,8,11,13,17,39,43
105000002710,4,15,38,40,42,45
105000002711,11,14,22,26,33,40
105000002712,2,3,15,18,29,40
105000002713,2,7,8,20,29,33
105000002801,1,4,5,8,14,28
105000002802,5,18,21,34,37,41
105000002803,14,22,28,32,34,37
105000002804,1,3,21,34,36,39
